state	date	dem_xibar	dem_low	dem_high	gop_xibar	gop_low	gop_high	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
AL	2016-09-11											0.01	0.01
AL	2016-09-12											0.01	0.01
AL	2016-09-13											0.01	0.01
AL	2016-09-14											0.01	0.01
AL	2016-09-15											0.01	0.01
AL	2016-09-16											0.01	0.01
AL	2016-09-17											0.01	0.01
AL	2016-09-18											0.01	0.01
AL	2016-09-19											0.01	0.01
AL	2016-09-20											0.01	0.01
AL	2016-09-21											0.01	0.01
AL	2016-09-22											0.01	0.01
AL	2016-09-23											0.01	0.01
AL	2016-09-24											0.01	0.01
AL	2016-09-25											0.01	0.01
AL	2016-09-26											0.01	0.01
AL	2016-09-27											0.01	0.01
AL	2016-09-28											0.01	0.01
AL	2016-09-29											0.01	0.01
AL	2016-09-30											0.01	0.01
AL	2016-10-01											0.01	0.01
AL	2016-10-02											0.01	0.01
AL	2016-10-03											0.01	0.01
AL	2016-10-04											0.01	0.01
AL	2016-10-05											0.01	0.01
AL	2016-10-06											0.01	0.01
AL	2016-10-07											0.01	0.01
AL	2016-10-08											0.01	0.01
AL	2016-10-09											0.01	0.01
AL	2016-10-10											0.01	0.01
AL	2016-10-11											0.01	0.01
AL	2016-10-12											0.01	0.01
AL	2016-10-13											0.01	0.01
AL	2016-10-14											0.01	0.01
AL	2016-10-15											0.01	0.01
AL	2016-10-16											0.01	0.01
AL	2016-10-17											0.01	0.01
AL	2016-10-18											0.01	0.01
AL	2016-10-19											0.01	0.01
AL	2016-10-20											0.01	0.01
AL	2016-10-21											0.01	0.01
AL	2016-10-22											0.01	0.01
AL	2016-10-23											0.01	0.01
AL	2016-10-24											0.01	0.01
AL	2016-10-25											0.01	0.01
AL	2016-10-26											0.01	0.01
AL	2016-10-27											0.01	0.01
AL	2016-10-28											0.01	0.01
AL	2016-10-29											0.01	0.01
AL	2016-10-30											0.01	0.01
AL	2016-10-31											0.01	0.01
AL	2016-11-01											0.01	0.01
AL	2016-11-02											0.01	0.01
AL	2016-11-03											0.01	0.01
AL	2016-11-04											0.01	0.01
AL	2016-11-05											0.01	0.01
AL	2016-11-06											0.01	0.01
AL	2016-11-07											0.01	0.01
AL	2016-11-08											0.01	0.01
AR	2016-08-29											0.01	0.01
AR	2016-08-30											0.01	0.01
AR	2016-08-31											0.01	0.01
AR	2016-09-01											0.01	0.01
AR	2016-09-02											0.01	0.01
AR	2016-09-03											0.01	0.01
AR	2016-09-04											0.01	0.01
AR	2016-09-05											0.01	0.01
AR	2016-09-06											0.01	0.01
AR	2016-09-07											0.01	0.01
AR	2016-09-08											0.01	0.01
AR	2016-09-09											0.01	0.01
AR	2016-09-10											0.01	0.01
AR	2016-09-11											0.01	0.01
AR	2016-09-12											0.01	0.01
AR	2016-09-13											0.01	0.01
AR	2016-09-14											0.01	0.01
AR	2016-09-15											0.01	0.01
AR	2016-09-16											0.01	0.01
AR	2016-09-17											0.01	0.01
AR	2016-09-18											0.01	0.01
AR	2016-09-19											0.01	0.01
AR	2016-09-20											0.01	0.01
AR	2016-09-21											0.01	0.01
AR	2016-09-22											0.01	0.01
AR	2016-09-23											0.01	0.01
AR	2016-09-24											0.01	0.01
AR	2016-09-25											0.01	0.01
AR	2016-09-26											0.01	0.01
AR	2016-09-27											0.01	0.01
AR	2016-09-28											0.01	0.01
AR	2016-09-29											0.01	0.01
AR	2016-09-30											0.01	0.01
AR	2016-10-01											0.01	0.01
AR	2016-10-02											0.01	0.01
AR	2016-10-03											0.01	0.01
AR	2016-10-04											0.01	0.01
AR	2016-10-05											0.01	0.01
AR	2016-10-06											0.01	0.01
AR	2016-10-07											0.01	0.01
AR	2016-10-08											0.01	0.01
AR	2016-10-09											0.01	0.01
AR	2016-10-10											0.01	0.01
AR	2016-10-11											0.01	0.01
AR	2016-10-12											0.01	0.01
AR	2016-10-13											0.01	0.01
AR	2016-10-14											0.01	0.01
AR	2016-10-15											0.01	0.01
AR	2016-10-16											0.01	0.01
AR	2016-10-17											0.01	0.01
AR	2016-10-18											0.01	0.01
AR	2016-10-19											0.01	0.01
AR	2016-10-20											0.01	0.01
AR	2016-10-21											0.01	0.01
AR	2016-10-22											0.01	0.01
AR	2016-10-23											0.01	0.01
AR	2016-10-24											0.01	0.01
AR	2016-10-25											0.01	0.01
AR	2016-10-26											0.01	0.01
AR	2016-10-27											0.01	0.01
AR	2016-10-28											0.01	0.01
AR	2016-10-29											0.01	0.01
AR	2016-10-30											0.01	0.01
AR	2016-10-31											0.01	0.01
AR	2016-11-01											0.01	0.01
AR	2016-11-02											0.01	0.01
AR	2016-11-03											0.01	0.01
AR	2016-11-04											0.01	0.01
AR	2016-11-05											0.01	0.01
AR	2016-11-06											0.01	0.01
AR	2016-11-07											0.01	0.01
AR	2016-11-08											0.01	0.01
AZ	2016-01-01	0.386083686420758	0.361951298151566	0.425341807064476	0.439566480256499	0.406106772118808	0.46409111106316	-0.0333428279231859	-0.0849592397186754	0.0410209784386694	0.174349833322743	0.14055	0.24055
AZ	2016-01-02	0.386332203684778	0.362369152795621	0.425581655066103	0.439518457528362	0.406150351272843	0.464172963655393	-0.0333840344823285	-0.084867715370305	0.0410380429765982	0.17414933878686	0.1394	0.2394
AZ	2016-01-03	0.386582294682122	0.3625695455899	0.425485607857019	0.439494203797989	0.406081527977103	0.46399451002065	-0.0329897180633831	-0.0847393428312143	0.0411879543261778	0.173923501519889	0.14005	0.24005
AZ	2016-01-04	0.386844129901233	0.362910292413739	0.425523123583592	0.439454313447852	0.406449846368671	0.463851017599397	-0.032671695165971	-0.0834288024406422	0.0413058512381494	0.173701556650916	0.1427	0.2427
AZ	2016-01-05	0.387089063254605	0.363255063012833	0.425432315651568	0.439421422680058	0.406414653668882	0.463670071089429	-0.0322268341267358	-0.0834031289201924	0.0416967837147841	0.173489514065336	0.14415	0.24415
AZ	2016-01-06	0.38733783088485	0.363524257310827	0.425565560228898	0.439353056447937	0.406295809128537	0.463653802323002	-0.0321107470754913	-0.0837571021092794	0.0410605725013298	0.173309112667214	0.14415	0.24415
AZ	2016-01-07	0.387597568717532	0.363865490728378	0.425725734019691	0.439314934262058	0.406289994507544	0.463676614755088	-0.0315997906830423	-0.0827128328290542	0.0412178100808992	0.173087497020411	0.1466	0.2466
AZ	2016-01-08	0.387862213385091	0.364182683031677	0.425705012661594	0.439253519273797	0.4063327479123	0.463420634559892	-0.031455173666704	-0.08252364397923	0.041636012738148	0.172884267341112	0.14725	0.24725
AZ	2016-01-09	0.388089648308774	0.364478904911472	0.42574349219955	0.439230067639148	0.406294836690209	0.463252062468619	-0.0308829618672224	-0.0823899477062911	0.0427412643642921	0.172680284052078	0.15295	0.25295
AZ	2016-01-10	0.388322879698221	0.364689730779472	0.425773817362964	0.439223871393979	0.406299099153288	0.463287508142375	-0.0307518742565641	-0.0824216941077534	0.0424636402882678	0.1724532489078	0.15115	0.25115
AZ	2016-01-11	0.388584077272205	0.364871191902255	0.425959192563415	0.439250208944037	0.406364746461712	0.463370292186481	-0.0307532007434373	-0.082269715819738	0.0419804860892398	0.172165713783758	0.1491	0.2491
AZ	2016-01-12	0.38883133521167	0.365067072458203	0.426303480245739	0.4392808532891	0.406518453876051	0.463374505249066	-0.0304293094408455	-0.0812586448429034	0.041405517573766	0.17188781149923	0.15335	0.25335
AZ	2016-01-13	0.389081563005534	0.365295709092629	0.426433809420937	0.439329682604928	0.406641305726741	0.463340387681041	-0.0303150048053701	-0.080759547647151	0.0408290310532379	0.171588754389538	0.1524	0.2524
AZ	2016-01-14	0.389327033047415	0.365600072370349	0.426543145307104	0.439388008933435	0.406630666974914	0.463209661391556	-0.0300666599899518	-0.0808618218016687	0.0424382827429596	0.17128495801915	0.15405	0.25405
AZ	2016-01-15	0.389559906197581	0.365788060421939	0.426927507001384	0.439462331281948	0.40668589064105	0.463441327499754	-0.0298434014728407	-0.0801286199634716	0.0420811195823494	0.170977762520471	0.15555	0.25555
AZ	2016-01-16	0.38980111305665	0.366047748838577	0.427010741676604	0.43956528893692	0.406899089929335	0.463317516004576	-0.0298094413886554	-0.0800927885264485	0.0413157223373641	0.17063359800643	0.1557	0.2557
AZ	2016-01-17	0.390019635989693	0.36613128402096	0.427504808554698	0.439693427202246	0.406850002629495	0.463508318486911	-0.0296573519184989	-0.0807918659784908	0.042096634858771	0.170286936808061	0.15565	0.25565
AZ	2016-01-18	0.39026006307089	0.366408653898985	0.427561234558501	0.439827904367803	0.407240724403141	0.463833625016677	-0.0298550932258722	-0.0811586028040421	0.0408621678052684	0.169912032561307	0.1538	0.2538
AZ	2016-01-19	0.390498010617615	0.366664898406568	0.427788405366706	0.439962559602369	0.407370614715434	0.464073522450206	-0.0294155831773222	-0.0807175459504216	0.042045674053427	0.169539429780016	0.1575	0.2575
AZ	2016-01-20	0.390727721621022	0.366746601310871	0.427905592365789	0.440091100730135	0.407518624202081	0.464214130180507	-0.0293325666728812	-0.0810279344934226	0.0419979224635638	0.169181177648843	0.15615	0.25615
AZ	2016-01-21	0.390968869380716	0.366917418369055	0.428176920661259	0.44024141217654	0.407690468602999	0.464505047830216	-0.0293574494062999	-0.0801534088906763	0.0418037505245726	0.168789718442744	0.15635	0.25635
AZ	2016-01-22	0.391226384750217	0.367390368472659	0.428287207630009	0.440381467366531	0.407988867233238	0.46488621601649	-0.0291530625145574	-0.0800069907011098	0.0416794754002467	0.168392147883252	0.15995	0.25995
AZ	2016-01-23	0.391464404321489	0.367529720601359	0.428690594736606	0.440519575967117	0.407756071624003	0.465119244069084	-0.0290872323255266	-0.080409747950399	0.0410448052284698	0.168016019711393	0.15835	0.25835
AZ	2016-01-24	0.391693894358958	0.367712064315343	0.428802738374698	0.44066740941111	0.408158502698974	0.465208318522212	-0.0289173446758172	-0.0801151345762525	0.0413670897159599	0.167638696229932	0.16095	0.26095
AZ	2016-01-25	0.391918831098479	0.367770228880277	0.429132992733284	0.440807050373695	0.408282881578434	0.465640249540534	-0.0290964684082158	-0.0797412391967769	0.0422612764365647	0.167274118527826	0.15995	0.25995
AZ	2016-01-26	0.392146552772258	0.368120213986065	0.429449874286857	0.440951557205727	0.408447259313996	0.465707874888631	-0.0287515215351863	-0.0794292806272418	0.0420733936957299	0.166901890022015	0.1622	0.2622
AZ	2016-01-27	0.392381184513848	0.368305606368133	0.429777672533132	0.441094305674123	0.408639084817508	0.465817437775255	-0.0286342649565887	-0.0795650771591326	0.0419569400595714	0.166524509812029	0.1634	0.2634
AZ	2016-01-28	0.392621961213516	0.368483155729314	0.429933381551503	0.441247348807057	0.408933903245192	0.466216880210654	-0.0285662781829872	-0.0795192469891892	0.0431764249986487	0.166130689979427	0.16475	0.26475
AZ	2016-01-29	0.39284661780414	0.368741577961981	0.430197301539513	0.441396001402236	0.40907092850882	0.466238209181229	-0.0283579592125615	-0.0794913985611704	0.0425850734866912	0.165757380793624	0.1625	0.2625
AZ	2016-01-30	0.39309018901508	0.369041021581448	0.430527053348008	0.441533311919258	0.409482357187335	0.466394904487138	-0.0284101615170329	-0.0799935703143415	0.0416385614968563	0.165376499065662	0.1648	0.2648
AZ	2016-01-31	0.393304323447644	0.369188878673995	0.430688583586857	0.44166610092006	0.409140711496796	0.466389484187976	-0.0284931097444356	-0.0790015957765225	0.042483469381887	0.165029575632295	0.1603	0.2603
AZ	2016-02-01	0.393556515975	0.369406373542615	0.431005245545885	0.441782540517496	0.409201950523144	0.466545289493231	-0.0282497771437912	-0.0794207708898221	0.0416801756090838	0.164660943507504	0.1656	0.2656
AZ	2016-02-02	0.393786422147621	0.369621580994058	0.431188002377122	0.441913278585822	0.409295954267483	0.466757243244076	-0.0281024382310756	-0.0791908472363972	0.0428180118947803	0.164300299266557	0.1632	0.2632
AZ	2016-02-03	0.394026968045273	0.369874726633252	0.431444027629818	0.442061661333115	0.409562467627782	0.466960976349358	-0.0279579021804518	-0.0788442909681453	0.0426105756900204	0.163911370621612	0.16415	0.26415
AZ	2016-02-04	0.394263706328714	0.370052944073151	0.431613596647754	0.442181718021026	0.409893744255981	0.466764960576134	-0.0279316732218883	-0.0786371547095885	0.0428450400694736	0.16355457565026	0.16465	0.26465
AZ	2016-02-05	0.394497066931339	0.370366244046033	0.431926999800931	0.442299150259354	0.410073563300818	0.467060231762968	-0.0277733539151985	-0.079090131921231	0.0421868598310646	0.163203782809308	0.16425	0.26425
AZ	2016-02-06	0.394754251222956	0.370482640385783	0.431983198684962	0.442422668204602	0.410323566162869	0.467190784977597	-0.0276498803401751	-0.0775506975843751	0.0423685782084172	0.162823080572442	0.1647	0.2647
AZ	2016-02-07	0.395029054894177	0.370920173143204	0.432243655804311	0.442558283908	0.41063646466037	0.467334891069083	-0.0276056477192388	-0.0782367019985333	0.04263358066965	0.162412661197823	0.1664	0.2664
AZ	2016-02-08	0.39527046440196	0.371060215294723	0.432403484507456	0.442707519781498	0.410681699610329	0.467333069570074	-0.0273588587076966	-0.0777632255449014	0.0427215795399409	0.162022015816542	0.1658	0.2658
AZ	2016-02-09	0.395516124691443	0.371326628800532	0.432447692185171	0.442813559762724	0.410644550277337	0.467472260587966	-0.027221614025368	-0.0773649113462664	0.0427071333587105	0.161670315545833	0.169	0.269
AZ	2016-02-10	0.395755289165171	0.371701692648175	0.432806539377337	0.442952158740739	0.41073001973576	0.467799834852626	-0.0274146221951704	-0.0780026550801971	0.0429403216202161	0.16129255209409	0.1671	0.2671
AZ	2016-02-11	0.396017511088141	0.372115129154025	0.43281537958514	0.443075367857053	0.411036148704095	0.467671826758408	-0.027067355489683	-0.0773752075112458	0.0421002567426971	0.160907121054805	0.16845	0.26845
AZ	2016-02-12	0.396264561530302	0.37225233068741	0.432967632250328	0.443208810518382	0.411271415359238	0.467810574525766	-0.0268154974704382	-0.0766532019289188	0.0435305884327773	0.160526627951316	0.1698	0.2698
AZ	2016-02-13	0.396520921451728	0.372704505295191	0.432907312616053	0.443333311168945	0.411473587997966	0.467942967592604	-0.0267495170311851	-0.0767505069230617	0.0427634719046039	0.160145767379328	0.1702	0.2702
AZ	2016-02-14	0.396749666048357	0.37290500715396	0.433012119860689	0.443465252633012	0.411565069660203	0.467867795689285	-0.0266148389209898	-0.0769820534726506	0.0417669235166756	0.159785081318631	0.1717	0.2717
AZ	2016-02-15	0.397002502146619	0.37309218301347	0.433000313091787	0.443585430553414	0.411813128682645	0.468211256588989	-0.0266411319667159	-0.0770398266821321	0.0419740655044901	0.159412067299967	0.1683	0.2683
AZ	2016-02-16	0.39725463681977	0.373476021467732	0.433031368814197	0.443721924729149	0.411928155648409	0.468064013434481	-0.0265120384080516	-0.0769809633564193	0.0425778642705421	0.159023438451081	0.17	0.27
AZ	2016-02-17	0.397520250254612	0.373763968853171	0.432925834637724	0.443865833969193	0.41232100610569	0.4680379277417	-0.0263944183408343	-0.0764102227025215	0.0428356671612817	0.158613915776195	0.17215	0.27215
AZ	2016-02-18	0.397777991476233	0.373995818358847	0.433153546198189	0.444002083800887	0.412471774097792	0.46794752685178	-0.0262101677878004	-0.0766516689613922	0.0420884345466216	0.158219924722881	0.17475	0.27475
AZ	2016-02-19	0.398055720126556	0.374412151512737	0.433063434772061	0.444129216656135	0.412642748027902	0.468156952132494	-0.0260485081236886	-0.0761609671048924	0.0422120271533334	0.157815063217308	0.1744	0.2744
AZ	2016-02-20	0.398299798388435	0.37476371616158	0.433279655776223	0.44427742406872	0.412809121126457	0.468194480423397	-0.025932151646264	-0.0757844806414636	0.0419633125492183	0.157422777542846	0.17675	0.27675
AZ	2016-02-21	0.398565819303719	0.375183126171182	0.433365564820947	0.444453695180545	0.413246672111048	0.468184493961014	-0.0257331441488002	-0.0761756053741097	0.0427109289242476	0.156980485515736	0.1756	0.2756
AZ	2016-02-22	0.398836647969279	0.375382174583232	0.433345230247739	0.444586833681333	0.413713511305293	0.468241596101072	-0.0256100246647143	-0.0755119247840945	0.040545199131071	0.156576518349388	0.17595	0.27595
AZ	2016-02-23	0.399083327078339	0.375750376296188	0.433503761116442	0.444735138943777	0.413823194791188	0.468447269792444	-0.0256111510339606	-0.0745053335317089	0.0421792574832694	0.156181533977884	0.1774	0.2774
AZ	2016-02-24	0.399334291340155	0.376013525432356	0.433619657540464	0.444888172595314	0.414280436957431	0.468484671814368	-0.025789236016838	-0.0757759883989051	0.0410572947260204	0.155777536064531	0.17525	0.27525
AZ	2016-02-25	0.399600107262726	0.376226900970815	0.433720306272019	0.445030445372979	0.414366138778129	0.468361443289062	-0.0255035005274762	-0.0755173199270265	0.0409567946744261	0.155369447364295	0.17745	0.27745
AZ	2016-02-26	0.39985937329837	0.376633755255726	0.433845763046892	0.445187440031273	0.414435062537695	0.468595020224339	-0.0251580282942526	-0.0744466533039292	0.0415917563655087	0.154953186670357	0.18215	0.28215
AZ	2016-02-27	0.400092883558911	0.376996934691436	0.43387649005791	0.44535667537126	0.414774550564051	0.468549649567452	-0.0252574209649353	-0.0746668346354325	0.0417408896045418	0.154550441069829	0.17885	0.27885
AZ	2016-02-28	0.40036822965835	0.377358317362453	0.434114203272883	0.445512729701059	0.414975504290431	0.468485047926085	-0.0251723965100497	-0.0743809256052339	0.0419963653342584	0.154119040640591	0.18045	0.28045
AZ	2016-02-29	0.400616501889505	0.377654082138227	0.43405259968658	0.445662835938651	0.41517671701767	0.468601216250135	-0.0251734209849678	-0.0744962235901236	0.0417569292156258	0.153720662171844	0.1801	0.2801
AZ	2016-03-01	0.400899514519449	0.377897311488856	0.434265582085274	0.445825708631336	0.415559385618283	0.468650455885962	-0.0249235597284146	-0.0734572458432493	0.0409057428894677	0.153274776849215	0.18245	0.28245
AZ	2016-03-02	0.401153859743866	0.378196854848899	0.434291070180844	0.445966561766397	0.415789883646815	0.46866572715262	-0.024892450272724	-0.0734050447815464	0.0411969590546726	0.152879578489737	0.1807	0.2807
AZ	2016-03-03	0.401412316716034	0.378438275014514	0.434369244955204	0.446123550810989	0.415970614732749	0.468742336121284	-0.0245944381610599	-0.0733155238099092	0.0411638446830453	0.152464132472978	0.1825	0.2825
AZ	2016-03-04	0.401668652166013	0.378803419271631	0.43464586636298	0.446307732433971	0.416122091629186	0.468635915948911	-0.0248606342390688	-0.0734103393007854	0.0407352108434017	0.152023615400016	0.1809	0.2809
AZ	2016-03-05	0.401946502962362	0.379062521614256	0.434846882597658	0.446474269192646	0.41657471972621	0.468703764280273	-0.0244284888230508	-0.0723444853084165	0.0413363122115779	0.151579227844992	0.1851	0.2851
AZ	2016-03-06	0.402193181865179	0.379415819622399	0.434874744598349	0.446650379522215	0.416833301377125	0.468843500677403	-0.024532624857283	-0.0729865254570012	0.0401032010274798	0.151156438612607	0.1825	0.2825
AZ	2016-03-07	0.402453909737942	0.379814551062024	0.434947231033772	0.446795845032589	0.417157821505734	0.468748248461987	-0.0243812485946016	-0.072357993000754	0.0402335492160238	0.150750245229469	0.1839	0.2839
AZ	2016-03-08	0.402717321198268	0.380154025467805	0.435305807145456	0.446970328661021	0.417395371245289	0.468889786215738	-0.0241075491308091	-0.0719117431848351	0.0408408586988761	0.150312350140711	0.1828	0.2828
AZ	2016-03-09	0.403001783743286	0.38049556495777	0.435461634957381	0.447157658064756	0.417553512847399	0.468852616348616	-0.0240744614199908	-0.0725145506977994	0.0402693239267124	0.149840558191958	0.18605	0.28605
AZ	2016-03-10	0.403259862551674	0.380761026406308	0.435655136972389	0.447378961383026	0.418012334657847	0.469126761890218	-0.024202369525943	-0.071710244301958	0.0396256219519689	0.1493611760653	0.18685	0.28685
AZ	2016-03-11	0.403568325075681	0.381052821376113	0.435946138544835	0.447606442912981	0.418260458797571	0.469453215389767	-0.0239803728920725	-0.0721642324282021	0.0408398861918292	0.148825232011338	0.1848	0.2848
AZ	2016-03-12	0.403875945031479	0.381485648015853	0.436321949215425	0.447848069540668	0.41848867464233	0.469577284944242	-0.0240500179894097	-0.0719414450501849	0.040060850420317	0.148275985427853	0.18525	0.28525
AZ	2016-03-13	0.404178556522709	0.381847532229527	0.43662128005417	0.448107336270871	0.419008956748118	0.469884494474194	-0.023861395010519	-0.0714196958307195	0.0402240382163639	0.14771410720642	0.18775	0.28775
AZ	2016-03-14	0.404445193096232	0.381961745215918	0.437234001829911	0.448353556239661	0.419308393395491	0.470023443661662	-0.0240350613923273	-0.0720183363783423	0.0402978120296693	0.147201250664107	0.1855	0.2855
AZ	2016-03-15	0.404743879698971	0.382141193024348	0.437345290012126	0.448617301396725	0.419470364650601	0.470307401017849	-0.0237024519913264	-0.0722842531505009	0.0400287814566742	0.146638818904305	0.19025	0.29025
AZ	2016-03-16	0.405050324952153	0.382449428321723	0.43765536706873	0.448866254321529	0.419997949862925	0.470552036407226	-0.02392698192794	-0.0716252415888479	0.0402170914366121	0.146083420726318	0.1864	0.2864
AZ	2016-03-17	0.405365190605474	0.382601465662847	0.437783052971328	0.449119762569042	0.420237576075071	0.470787187142426	-0.023789619916988	-0.0716302574838912	0.0397791003496997	0.145515046825484	0.1912	0.2912
AZ	2016-03-18	0.405668965884114	0.383087166665629	0.438016911647266	0.449360553545378	0.42042272971826	0.471219431928437	-0.0236778437434167	-0.0720276061371907	0.0397349700060225	0.144970480570508	0.1904	0.2904
AZ	2016-03-19	0.405958034386644	0.383413400496732	0.43834803631472	0.44960840789441	0.420820860014114	0.471374298602289	-0.0236137306408729	-0.0712740933988916	0.0395903818404171	0.144433557718946	0.19265	0.29265
AZ	2016-03-20	0.406242616760557	0.38370121782136	0.438435005309748	0.449860654521436	0.42114657912224	0.471613905206342	-0.02358530818622	-0.0714430705826642	0.0395068738116757	0.143896728718008	0.1934	0.2934
AZ	2016-03-21	0.406539848089142	0.383994109118538	0.43879104288151	0.450137609302752	0.421437546906477	0.471803492362838	-0.0235206144824711	-0.0712793124347043	0.0396692296965844	0.143322542608105	0.19245	0.29245
AZ	2016-03-22	0.406834479653355	0.384229429428068	0.438944223242764	0.450396253804823	0.422041088961325	0.472059527832682	-0.0236744678959052	-0.0713741604521533	0.0398801440816555	0.142769266541823	0.19225	0.29225
AZ	2016-03-23	0.40716338432767	0.384492709326129	0.438973131243949	0.450651249358338	0.422455759606124	0.472349804791139	-0.0233788712739816	-0.0714172186864501	0.0397978025588518	0.142185366313992	0.19465	0.29465
AZ	2016-03-24	0.407465918175896	0.384877431689392	0.439249194752714	0.450916349487064	0.422597863520877	0.472547660357054	-0.0234092518601073	-0.0715813006466605	0.039774107094804	0.14161773233704	0.1953	0.2953
AZ	2016-03-25	0.407752687651596	0.385152787364691	0.439335311499991	0.451143997129454	0.423125099598996	0.472714611430343	-0.0233345734749786	-0.0713876526118774	0.0386588416300292	0.14110331521895	0.1949	0.2949
AZ	2016-03-26	0.408069943226135	0.385522105662799	0.439398554363468	0.451407743479608	0.423412601993924	0.473145547102258	-0.0233065902953724	-0.0721274393818082	0.0400258412004015	0.140522313294257	0.19405	0.29405
AZ	2016-03-27	0.408387721822062	0.385867171019902	0.439711374236134	0.451675775327841	0.42368349665368	0.473280068121073	-0.0232688300106925	-0.0709083733279021	0.0381063527035126	0.139936502850098	0.1934	0.2934
AZ	2016-03-28	0.408716010232907	0.386333593673977	0.439895838260425	0.451957538270476	0.424057991658076	0.473674130428908	-0.0233254936476994	-0.070915197297113	0.0382207463398003	0.139326451496617	0.1952	0.2952
AZ	2016-03-29	0.408996772181996	0.386632448137122	0.43990683958343	0.452217477565581	0.42440476913751	0.474013473533453	-0.0231945895205215	-0.0711348613663721	0.0386706532660306	0.138785750252423	0.19395	0.29395
AZ	2016-03-30	0.409303543527082	0.386798193525914	0.440266570711349	0.452484844314324	0.424721332555432	0.474252272400515	-0.0231716061572211	-0.0705521708258373	0.0382909026637672	0.138211612158594	0.1943	0.2943
AZ	2016-03-31	0.409612784623025	0.38722577529857	0.440350199993237	0.452730576709051	0.425207563090862	0.474490629749602	-0.0228826630034314	-0.0712782601404896	0.0375770672828552	0.137656638667924	0.1994	0.2994
AZ	2016-04-01	0.409914117521399	0.387563976599964	0.440578822920522	0.452981852916495	0.425702031104583	0.474721131907463	-0.0231840826902217	-0.0711286014771215	0.0378736144836357	0.137104029562107	0.19635	0.29635
AZ	2016-04-02	0.410231073425229	0.387750027693463	0.440688503990864	0.453232604742237	0.426339225771459	0.475154686727014	-0.022865665909718	-0.0713532042321671	0.0385190861118469	0.136536321832534	0.1991	0.2991
AZ	2016-04-03	0.410553134436207	0.388189069321467	0.440852722218033	0.453479298642573	0.426709213118375	0.475364657837532	-0.0228146613579706	-0.0711643298049593	0.0375299074879795	0.13596756692122	0.20145	0.30145
